date,symbol,close
2020-01-02,SPY,323.54
2020-01-02,QQQ,216.16
2020-01-02,GLD,143.95
2020-01-03,SPY,321.86
2020-01-03,QQQ,215.36
2020-01-03,GLD,143.89
2020-01-06,SPY,320.21
2020-01-06,QQQ,214.59
2020-01-06,GLD,143.86
2020-01-07,SPY,318.57
2020-01-07,QQQ,213.83
2020-01-07,GLD,143.84
2020-01-08,SPY,316.96
2020-01-08,QQQ,213.10
2020-01-08,GLD,143.83
2020-01-09,SPY,315.35
2020-01-09,QQQ,212.37
2020-01-09,GLD,143.83
2020-01-10,SPY,313.74
2020-01-10,QQQ,211.64
2020-01-10,GLD,143.82
2020-01-13,SPY,312.12
2020-01-13,QQQ,210.90
2020-01-13,GLD,143.80
2020-01-14,SPY,310.49
2020-01-14,QQQ,210.15
2020-01-14,GLD,143.76
2020-01-15,SPY,308.85
2020-01-15,QQQ,209.39
2020-01-15,GLD,143.69
2020-01-16,SPY,307.18
2020-01-16,QQQ,208.60
2020-01-16,GLD,143.59
2020-01-17,SPY,305.48
2020-01-17,QQQ,207.78
2020-01-17,GLD,143.47
2020-01-20,SPY,303.75
2020-01-20,QQQ,206.93
2020-01-20,GLD,143.32
2020-01-21,SPY,301.99
2020-01-21,QQQ,206.05
2020-01-21,GLD,143.14
2020-01-22,SPY,300.20
2020-01-22,QQQ,205.14
2020-01-22,GLD,142.95
2020-01-23,SPY,298.39
2020-01-23,QQQ,204.21
2020-01-23,GLD,142.74
2020-01-24,SPY,296.55
2020-01-24,QQQ,203.25
2020-01-24,GLD,142.54
2020-01-27,SPY,294.70
2020-01-27,QQQ,202.28
2020-01-27,GLD,142.34
2020-01-28,SPY,292.85
2020-01-28,QQQ,201.31
2020-01-28,GLD,142.17
2020-01-29,SPY,290.99
2020-01-29,QQQ,200.33
2020-01-29,GLD,142.01
2020-01-30,SPY,289.14
2020-01-30,QQQ,199.36
2020-01-30,GLD,141.89
2020-01-31,SPY,287.31
2020-01-31,QQQ,198.41
2020-01-31,GLD,141.81
2020-02-03,SPY,285.50
2020-02-03,QQQ,197.48
2020-02-03,GLD,141.77
2020-02-04,SPY,283.72
2020-02-04,QQQ,196.58
2020-02-04,GLD,141.76
2020-02-05,SPY,281.97
2020-02-05,QQQ,195.71
2020-02-05,GLD,141.80
2020-02-06,SPY,280.26
2020-02-06,QQQ,194.88
2020-02-06,GLD,141.86
2020-02-07,SPY,278.58
2020-02-07,QQQ,194.08
2020-02-07,GLD,141.94
2020-02-10,SPY,276.95
2020-02-10,QQQ,193.33
2020-02-10,GLD,142.04
2020-02-11,SPY,275.35
2020-02-11,QQQ,192.61
2020-02-11,GLD,142.15
2020-02-12,SPY,273.78
2020-02-12,QQQ,191.92
2020-02-12,GLD,142.24
2020-02-13,SPY,272.24
2020-02-13,QQQ,191.26
2020-02-13,GLD,142.32
2020-02-14,SPY,270.72
2020-02-14,QQQ,190.62
2020-02-14,GLD,142.38
2020-02-17,SPY,269.21
2020-02-17,QQQ,189.99
2020-02-17,GLD,142.40
2020-02-18,SPY,267.70
2020-02-18,QQQ,189.36
2020-02-18,GLD,142.39
2020-02-19,SPY,266.19
2020-02-19,QQQ,188.73
2020-02-19,GLD,142.33
2020-02-20,SPY,264.66
2020-02-20,QQQ,188.08
2020-02-20,GLD,142.24
2020-02-21,SPY,263.12
2020-02-21,QQQ,187.42
2020-02-21,GLD,142.11
2020-02-24,SPY,261.55
2020-02-24,QQQ,186.73
2020-02-24,GLD,141.95
2020-02-25,SPY,259.96
2020-02-25,QQQ,186.02
2020-02-25,GLD,141.76
2020-02-26,SPY,258.32
2020-02-26,QQQ,185.26
2020-02-26,GLD,141.55
2020-02-27,SPY,256.66
2020-02-27,QQQ,184.48
2020-02-27,GLD,141.34
2020-02-28,SPY,254.96
2020-02-28,QQQ,183.66
2020-02-28,GLD,141.14
2020-03-02,SPY,253.23
2020-03-02,QQQ,182.81
2020-03-02,GLD,140.94
2020-03-03,SPY,251.47
2020-03-03,QQQ,181.93
2020-03-03,GLD,140.76
2020-03-04,SPY,249.69
2020-03-04,QQQ,181.03
2020-03-04,GLD,140.61
2020-03-05,SPY,247.89
2020-03-05,QQQ,180.11
2020-03-05,GLD,140.49
2020-03-06,SPY,246.09
2020-03-06,QQQ,179.19
2020-03-06,GLD,140.39
2020-03-09,SPY,244.28
2020-03-09,QQQ,178.26
2020-03-09,GLD,140.33
2020-03-10,SPY,242.48
2020-03-10,QQQ,177.34
2020-03-10,GLD,140.29
2020-03-11,SPY,240.69
2020-03-11,QQQ,176.43
2020-03-11,GLD,140.27
2020-03-12,SPY,238.92
2020-03-12,QQQ,175.54
2020-03-12,GLD,140.27
2020-03-13,SPY,237.17
2020-03-13,QQQ,174.67
2020-03-13,GLD,140.27
2020-03-16,SPY,235.45
2020-03-16,QQQ,173.83
2020-03-16,GLD,140.27
2020-03-17,SPY,233.75
2020-03-17,QQQ,173.01
2020-03-17,GLD,140.26
2020-03-18,SPY,232.08
2020-03-18,QQQ,172.22
2020-03-18,GLD,140.23
2020-03-19,SPY,230.43
2020-03-19,QQQ,171.45
2020-03-19,GLD,140.18
2020-03-20,SPY,228.80
2020-03-20,QQQ,170.70
2020-03-20,GLD,140.11
2020-03-23,SPY,230.68
2020-03-23,QQQ,172.18
2020-03-23,GLD,140.24
2020-03-24,SPY,232.34
2020-03-24,QQQ,173.44
2020-03-24,GLD,140.15
2020-03-25,SPY,234.16
2020-03-25,QQQ,174.86
2020-03-25,GLD,140.22
2020-03-26,SPY,236.21
2020-03-26,QQQ,176.51
2020-03-26,GLD,140.52
2020-03-27,SPY,238.51
2020-03-27,QQQ,178.41
2020-03-27,GLD,141.07
2020-03-30,SPY,241.00
2020-03-30,QQQ,180.50
2020-03-30,GLD,141.81
2020-03-31,SPY,243.58
2020-03-31,QQQ,182.68
2020-03-31,GLD,142.64
2020-04-01,SPY,246.15
2020-04-01,QQQ,184.85
2020-04-01,GLD,143.46

