symbol,date,close
AAPL,2020-01-02,75.09
GLD,2020-01-02,143.95
JPM,2020-01-02,141.09
MSFT,2020-01-02,160.62
SPY,2020-01-02,324.87
AAPL,2020-01-03,74.36
GLD,2020-01-03,145.86
JPM,2020-01-03,138.34
MSFT,2020-01-03,158.62
SPY,2020-01-03,322.41
AAPL,2020-01-06,74.95
GLD,2020-01-06,147.39
JPM,2020-01-06,138.23
MSFT,2020-01-06,159.03
SPY,2020-01-06,323.64
AAPL,2020-01-07,74.6
GLD,2020-01-07,147.97
JPM,2020-01-07,135.88
MSFT,2020-01-07,157.58
SPY,2020-01-07,322.73
AAPL,2020-01-08,75.8
GLD,2020-01-08,146.86
JPM,2020-01-08,136.94
MSFT,2020-01-08,160.09
SPY,2020-01-08,324.45
AAPL,2020-01-09,77.41
GLD,2020-01-09,146.03
JPM,2020-01-09,137.44
MSFT,2020-01-09,162.09
SPY,2020-01-09,326.65
AAPL,2020-01-10,77.58
GLD,2020-01-10,146.91
JPM,2020-01-10,136.07
MSFT,2020-01-10,161.34
SPY,2020-01-10,325.71
AAPL,2020-01-13,79.24
GLD,2020-01-13,145.82
JPM,2020-01-13,137.2
MSFT,2020-01-13,163.28
SPY,2020-01-13,327.95
AAPL,2020-01-14,78.17
GLD,2020-01-14,145.69
JPM,2020-01-14,138.8
MSFT,2020-01-14,162.13
SPY,2020-01-14,327.45
AAPL,2020-01-15,77.83
GLD,2020-01-15,146.54
JPM,2020-01-15,136.72
MSFT,2020-01-15,163.18
SPY,2020-01-15,328.19
AAPL,2020-01-16,78.81
GLD,2020-01-16,146.31
JPM,2020-01-16,137.25
MSFT,2020-01-16,166.17
SPY,2020-01-16,330.92
AAPL,2020-01-17,79.68
GLD,2020-01-17,146.58
JPM,2020-01-17,138.2
MSFT,2020-01-17,167.1
SPY,2020-01-17,331.95
AAPL,2020-01-21,79.14
GLD,2020-01-21,146.74
JPM,2020-01-21,136.84
MSFT,2020-01-21,166.5
SPY,2020-01-21,331.3
AAPL,2020-01-22,79.43
GLD,2020-01-22,146.79
JPM,2020-01-22,136.68
MSFT,2020-01-22,165.7
SPY,2020-01-22,331.34
AAPL,2020-01-23,79.81
GLD,2020-01-23,147.12
JPM,2020-01-23,136.54
MSFT,2020-01-23,166.72
SPY,2020-01-23,331.72
AAPL,2020-01-24,79.58
GLD,2020-01-24,147.98
JPM,2020-01-24,133.15
MSFT,2020-01-24,165.04
SPY,2020-01-24,328.77
AAPL,2020-01-27,77.24
GLD,2020-01-27,148.99
JPM,2020-01-27,132.03
MSFT,2020-01-27,162.28
SPY,2020-01-27,323.5
AAPL,2020-01-28,79.42
GLD,2020-01-28,147.66
JPM,2020-01-28,134.43
MSFT,2020-01-28,165.46
SPY,2020-01-28,326.89
AAPL,2020-01-29,81.08
GLD,2020-01-29,148.46
JPM,2020-01-29,134.23
MSFT,2020-01-29,168.04
SPY,2020-01-29,326.62
AAPL,2020-01-30,80.97
GLD,2020-01-30,148.47
JPM,2020-01-30,135.89
MSFT,2020-01-30,172.78
SPY,2020-01-30,327.68
AAPL,2020-01-31,77.38
GLD,2020-01-31,149.33
JPM,2020-01-31,132.36
MSFT,2020-01-31,170.23
SPY,2020-01-31,321.73
AAPL,2020-02-03,77.17
GLD,2020-02-03,148.36
JPM,2020-02-03,133.37
MSFT,2020-02-03,174.38
